res_id,gender,age,MateComp.cont,hate_violence_means,hate_pol_message,hate_prevent_settlement,hate_polcondemn
453037642,Male,57,1,1,1,1,1
497678547,Female,53,1,1,1,1,1
481071845,Male,28,1,1,1,1,1
424267740,Female,37,2,2,1,1,2
477327245,Female,20,1,2,1,1,2
451291649,Male,29,1,1,1,1,2
491411847,Female,22,3,2,2,2,3
477331541,Male,26,4,4,4,4,4
433703548,Male,26,1,1,1,1,2
477819340,Male,61,1,2,1,1,3
423063745,Female,53,1,1,1,1,1
417347245,Female,30,2,1,1,1,2
463429042,Male,50,4,1,1,1,1
411617141,Male,68,1,1,1,1,2
484909242,Female,69,2,2,3,2,4
413673243,Male,51,2,3,3,2,2
433077542,Male,32,1,2,2,2,2
457185048,Female,50,2,2,1,1,1
421180442,Female,20,1,1,1,1,2
443187043,Male,77,1,1,1,1,1
471491740,Male,32,2,2,4,2,2
461514940,Male,76,2,2,1,1,1
483690443,Female,74,2,2,2,2,2
497324947,Female,55,2,1,1,1,1
477228541,Female,19,1,1,1,1,2
414772842,Female,63,1,1,1,1,1
487246340,Female,53,2,1,1,1,2
474784749,Female,50,1,2,1,1,2
427097345,Female,54,2,1,1,1,3
477828941,Male,33,1,3,3,2,2
457309842,Male,31,4,2,1,2,1
417515842,Female,54,1,1,1,1,4
431833540,Male,74,3,2,1,2,4
497415247,Female,48,1,2,1,1,2
474004743,Female,64,1,1,1,1,1
493117145,Male,58,2,2,1,1,2
454914640,Male,58,3,2,3,3,3
493866942,Male,19,1,2,1,1,2
427418843,Female,62,2,2,1,1,1
467914142,Female,24,1,1,1,1,1
441586348,Male,20,4,4,4,4,1
443887341,Male,70,2,1,1,1,2
457014749,Female,65,2,2,3,2,2
473200244,Female,40,2,3,4,4,4
423477944,Female,59,2,2,1,1,1
451487046,Male,27,1,1,1,1,1
444572745,Male,41,4,3,2,2,3
447038247,Male,63,2,1,4,1,4
403642648,Male,23,1,1,1,1,1
463054847,Female,33,2,3,3,2,2
464384842,Male,59,1,1,1,1,1
473354841,Female,39,1,2,1,2,2
434762147,Male,38,1,1,1,1,1
473994845,Male,44,1,1,1,1,1
407609341,Female,36,1,1,1,1,1
431511145,Male,25,3,2,1,1,3
423889947,Male,80,1,4,4,4,1
431257145,Female,19,2,3,1,1,2
484790946,Male,34,1,1,1,1,4
417457247,Female,28,1,2,3,2,3
421970347,Male,31,2,1,1,1,1
403787940,Female,48,1,2,1,2,4
421563443,Male,68,1,1,1,1,1
497386644,Female,52,1,4,4,4,4
411220142,Female,58,2,1,1,1,4
424017543,Female,58,2,2,1,1,1
424609945,Female,53,3,2,3,3,2
413174249,Male,26,1,1,1,1,2
421414945,Female,27,1,1,1,1,1
471596944,Female,50,1,1,1,1,1
484972242,Male,38,3,2,2,2,3
431220047,Male,22,2,1,2,2,3
454098843,Male,46,2,2,1,2,2
497189448,Female,65,1,2,1,1,1
461447049,Female,47,1,1,1,1,1
411016947,Female,60,2,1,1,1,1
423998542,Male,51,1,1,1,1,2
431080446,Male,27,3,3,3,3,2
453538044,Female,48,2,3,3,2,3
474084640,Female,49,1,2,1,1,2
401981847,Male,62,1,1,1,1,2
423432245,Female,64,2,1,1,1,1
441066840,Female,59,2,1,1,1,1
401674640,Male,63,1,1,1,1,1
421896148,Male,30,2,2,2,2,1
447032242,Female,38,1,1,1,1,1
431253448,Male,63,1,1,1,1,1
403898642,Male,64,1,1,1,1,1
444312247,Male,27,2,1,1,1,2
437144049,Female,21,2,2,2,2,2
481446049,Male,25,3,4,4,4,4
401364743,Male,34,2,3,4,4,2
421243543,Male,34,2,2,2,3,2
467325840,Female,32,3,2,3,3,1
421414742,Female,31,2,1,1,1,2
417663045,Female,60,2,1,1,1,1
451117040,Male,29,3,3,3,3,2
471051048,Male,48,2,4,3,3,2
421716145,Male,21,3,2,3,3,2
471410449,Male,39,1,1,1,1,2
417519947,Female,57,3,4,2,3,3
434709242,Female,58,3,2,1,1,2
411074840,Male,54,2,1,1,1,2
